#ATUALIZACAO: 16 Setembro 2026,,,,,,
#JANELA_APLICADA: 09 Setembro 2026 a 20 Março 2027,,,,,,
#COBERTURA: Sessões de pista de Formula 1, MotoGP e WorldSBK confirmadas por data. Sem horários locais quando não publicados oficialmente.,,,,,,
#FORMATO: [NOME]<br>[LOCAL],DIA_INÍCIO,MÊS_INÍCIO,ANO_INÍCIO,DIA_FIM,MÊS_FIM,ANO_FIM

⏱️ MotoGP [Grande Prémio de San Marino — Treino Livre 1]<br>Misano World Circuit Marco Simoncelli - Itália,11,9,2026,,,
⏱️ MotoGP [Grande Prémio de San Marino — Treino cronometrado]<br>Misano World Circuit Marco Simoncelli - Itália,11,9,2026,,,
⏱️ MotoGP [Grande Prémio de San Marino — Treino Livre 2]<br>Misano World Circuit Marco Simoncelli - Itália,12,9,2026,,,
⏱️ MotoGP [Grande Prémio de San Marino — Qualificação Q1]<br>Misano World Circuit Marco Simoncelli - Itália,12,9,2026,,,
⏱️ MotoGP [Grande Prémio de San Marino — Qualificação Q2]<br>Misano World Circuit Marco Simoncelli - Itália,12,9,2026,,,
🏍️ MotoGP [Grande Prémio de San Marino — Sprint]<br>Misano World Circuit Marco Simoncelli - Itália,12,9,2026,,,
⏱️ MotoGP [Grande Prémio de San Marino — Warm-up]<br>Misano World Circuit Marco Simoncelli - Itália,13,9,2026,,,
🏍️ MotoGP [Grande Prémio de San Marino — Corrida]<br>Misano World Circuit Marco Simoncelli - Itália,13,9,2026,,,
⏱️ MotoGP [Grande Prémio da Áustria — Treino Livre 1]<br>Red Bull Ring - Áustria,18,9,2026,,,
⏱️ MotoGP [Grande Prémio da Áustria — Treino cronometrado]<br>Red Bull Ring - Áustria,18,9,2026,,,
⏱️ MotoGP [Grande Prémio da Áustria — Treino Livre 2]<br>Red Bull Ring - Áustria,19,9,2026,,,
⏱️ MotoGP [Grande Prémio da Áustria — Qualificação Q1]<br>Red Bull Ring - Áustria,19,9,2026,,,
⏱️ MotoGP [Grande Prémio da Áustria — Qualificação Q2]<br>Red Bull Ring - Áustria,19,9,2026,,,
🏍️ MotoGP [Grande Prémio da Áustria — Sprint]<br>Red Bull Ring - Áustria,19,9,2026,,,
⏱️ MotoGP [Grande Prémio da Áustria — Warm-up]<br>Red Bull Ring - Áustria,20,9,2026,,,
🏍️ MotoGP [Grande Prémio da Áustria — Corrida]<br>Red Bull Ring - Áustria,20,9,2026,,,
⏱️ Formula 1 [Grande Prémio do Azerbaijão — Treino Livre 1]<br>Baku City Circuit - Azerbaijão,24,9,2026,,,
