status,titulo,local,data,icon,inicio,fim
# METADADOS DA BASE DE DADOS,,,,,,
# Criado em,12/08/2026 17:35,,,,,
# Data base,12/08/2026,,,,,
# Período,2026-08-12 a 2026-11-10,90 dias,,,,
# Fontes,"Teatro Villaret, Politeama, Armando Cortez, Trindade, Maria Matos, São Luiz, Rivoli, TNSJ Porto, Circo Braga, Baltazar Dias, Micaelense",,,,,
# Total peças,106,,,,,
# Formato,status | titulo | local | data | icon | inicio (YYYY-MM-DD) | fim (YYYY-MM-DD),,,,,
,,,,,,
now,Chicago - O Musical,Teatro Politeama - Lisboa,Até Setembro,🎷,2026-06-01,2026-09-30
now,Carmen Miranda - O Musical,Teatro Politeama - Lisboa,Até Outubro,💃,2026-05-15,2026-10-15
now,A Peça que Dá para o Torto,Casino Lisboa,Até Setembro,📉,2026-06-10,2026-09-20
now,Lar Doce Lar,Teatro Villaret - Lisboa,Até Outubro,🏡,2026-07-01,2026-10-31
now,Monólogos da Vagina,Teatro Villaret - Lisboa,Até Setembro,📢,2026-06-15,2026-09-15
now,O Principezinho,Teatro da Trindade - Lisboa,Sáb e Dom,🌹,2026-05-01,2026-10-31
now,Sonho de uma Noite de Verão,Quinta da Regaleira - Sintra,Até Setembro,✨,2026-07-01,2026-09-15
now,ImprovMix,Fábrica Braço de Prata - Lisboa,Quintas-feiras,🎤,2026-06-01,2026-10-31
now,Auto da Barca do Inferno,Convento S. Francisco - Coimbra,Até 31 Ago,🚣,2026-07-01,2026-08-31
now,IA.COMédia,Teatro Independente de Oeiras,Até Setembro,🤖,2026-06-01,2026-09-30
now,A Noite de Iguana,Cine-Teatro de Estarreja,Até 25 Ago,🦎,2026-08-01,2026-08-25
now,Cinderela - O Musical,Coliseu Porto Ageas,Até Setembro,👠,2026-07-15,2026-09-15
now,As Aventuras do Lobo Faminto,Teatro Sá da Bandeira - Porto,Fins de Semana,🐺,2026-06-01,2026-09-30
now,O Gato Com Botas,Auditório de Albufeira,Até 31 Ago,🐱,2026-07-01,2026-08-31
now,Os Miseráveis,Europarque - S. Maria da Feira,Até Setembro,🇫🇷,2026-07-20,2026-09-10
now,Festival de Teatro de Verão,Teatro Baltazar Dias - Funchal,Até 31 Ago,🎭,2026-08-01,2026-08-31
now,Antígona,Ruínas de Conímbriga,Até 30 Ago,🏛️,2026-07-15,2026-08-30
now,A Tempestade,Teatro Eduardo Brazão - Valadares,Até 25 Ago,⚡,2026-08-01,2026-08-25
now,O Bando dos Quatro,Auditório Municipal de Olhão,Até 31 Ago,🔍,2026-08-01,2026-08-31
now,Zorro - O Musical,Teatro Tivoli - Lisboa,Até Setembro,🗡️,2026-07-01,2026-09-20
next,A Ratoeira - Agatha Christie,Teatro Maria Matos - Lisboa,Estreia 01 Set,🐭,2026-09-01,2026-11-15
next,As Bodas de Fígaro,Teatro Nacional S. Carlos - Lisboa,Estreia 15 Set,🎻,2026-09-15,2026-10-15
next,Esperando Godot,Teatro Viriato - Viseu,Estreia 10 Set,⏳,2026-09-10,2026-09-25
next,Um Elétrico Chamado Desejo,Teatro Circo - Braga,Estreia 01 Out,🚋,2026-10-01,2026-10-20
next,A Dama das Camélias,Teatro Lethes - Faro,Estreia 08 Out,🌸,2026-10-08,2026-10-25
next,Sexo e a Idade,Casino Lisboa,Estreia 15 Set,🗓️,2026-09-15,2026-11-15
next,Macbeth,Teatro Aveirense - Aveiro,Estreia 18 Set,🗡️,2026-09-18,2026-10-05
next,O Pai,Teatro das Figuras - Faro,Estreia 25 Set,👴,2026-09-25,2026-10-10
next,Romeu e Julieta,Teatro Garcia de Resende - Évora,Estreia 02 Out,❤️,2026-10-02,2026-10-20
next,Morte de um Caixeiro Viajante,Teatro Micaelense - Ponta Delgada,Estreia 12 Out,💼,2026-10-12,2026-10-25
next,Baile de Máscaras,Coliseu Porto Ageas,Estreia 20 Set,🎭,2026-09-20,2026-10-05
next,O Misantropo,Teatro Diogo Bernardes - P. Lima,Estreia 05 Out,🤨,2026-10-05,2026-10-18
next,Sr. Engenheiro - O Musical,Coliseu Porto Ageas,Estreia 10 Set,🏗️,2026-09-10,2026-10-10
next,O Cerejal,Teatro Nacional D. Maria II - Lisboa,Estreia 01 Out,🌳,2026-10-01,2026-11-10
next,Hamlet,Teatro Nacional São João - Porto,Estreia 15 Out,💀,2026-10-15,2026-11-15
next,Rei Lear,Teatro Municipal de Bragança,Estreia 22 Out,👑,2026-10-22,2026-11-05
next,A Flauta Mágica,Teatro Baltazar Dias - Funchal,Estreia 05 Set,🎶,2026-09-05,2026-09-20
next,Yerma,Teatro de Vila Real,Estreia 18 Set,🏜️,2026-09-18,2026-10-02
next,West Side Story,Coliseu de Elvas,Estreia 25 Set,🏙️,2026-09-25,2026-10-10
next,Cyrano de Bergerac,Teatro Municipal de Ourém,Estreia 02 Out,👃,2026-10-02,2026-10-15
next,O Corcunda de Notre Dame,Fórum Luísa Todi - Setúbal,Estreia 10 Out,🔔,2026-10-10,2026-10-25
next,Woyzeck,Teatro das Beiras - Covilhã,Estreia 15 Out,🔪,2026-10-15,2026-10-30
next,Seis Personagens à Procura de Autor,Teatro Municipal de Beja,Estreia 08 Out,👥,2026-10-08,2026-10-22
next,Hedda Gabler,Teatro Municipal de Matosinhos,Estreia 05 Out,🔫,2026-10-05,2026-10-20
next,O Barbeiro de Sevilha,Teatro Pax Julia - Beja,Estreia 12 Set,🪒,2026-09-12,2026-09-25
next,Um Inimigo do Povo,Teatro Stephens - Marinha Grande,Estreia 20 Set,🌊,2026-09-20,2026-10-05
