status,titulo,local,data,icon,inicio,fim
# METADADOS DA BASE DE DADOS,,,,,,
# Criado em,16/09/2026 18:00,,,,,
# Data base,16/09/2026,,,,,
# Período,2026-09-09 a 2026-12-14,90 dias,,,,
# Fontes,Programações oficiais e bilheteiras dos espaços indicados,,,,,
# Total peças,106,,,,,
# Formato,status | titulo | local | data | icon | inicio (YYYY-MM-DD) | fim (YYYY-MM-DD),,,,,
,,,,,,
now,Chicago - O Musical,Teatro Politeama - Lisboa,Até Setembro,🎷,2026-06-01,2026-09-30
now,Carmen Miranda - O Musical,Teatro Politeama - Lisboa,Até Outubro,💃,2026-05-15,2026-10-15
now,A Peça que Dá para o Torto,Casino Lisboa,Até Setembro,📉,2026-06-10,2026-09-20
now,Lar Doce Lar,Teatro Villaret - Lisboa,Até Outubro,🏡,2026-07-01,2026-10-31
now,O Principezinho,Teatro da Trindade - Lisboa,Sáb e Dom,🌹,2026-05-01,2026-10-31
now,ImprovMix,Fábrica Braço de Prata - Lisboa,Quintas-feiras,🎤,2026-06-01,2026-10-31
now,IA.COMédia,Teatro Independente de Oeiras,Até Setembro,🤖,2026-06-01,2026-09-30
now,Zorro - O Musical,Teatro Tivoli - Lisboa,Até Setembro,🗡️,2026-07-01,2026-09-20
next,A Ratoeira - Agatha Christie,Teatro Maria Matos - Lisboa,Em exibição a partir de 01/09,🐭,2026-09-01,2026-11-15
now,As Bodas de Fígaro,Teatro Nacional S. Carlos - Lisboa,15/09 a 15/10,🎻,2026-09-15,2026-10-15
now,Esperando Godot,Teatro Viriato - Viseu,10/09 a 25/09,⏳,2026-09-10,2026-09-25
next,Um Elétrico Chamado Desejo,Teatro Circo - Braga,01/10 a 20/10,🚋,2026-10-01,2026-10-20
next,A Dama das Camélias,Teatro Lethes - Faro,08/10 a 25/10,🌸,2026-10-08,2026-10-25
now,Sexo e a Idade,Casino Lisboa,15/09 a 15/11,🗓️,2026-09-15,2026-11-15
next,Macbeth,Teatro Aveirense - Aveiro,18/09 a 05/10,🗡️,2026-09-18,2026-10-05
next,O Pai,Teatro das Figuras - Faro,25/09 a 10/10,👴,2026-09-25,2026-10-10
next,Romeu e Julieta,Teatro Garcia de Resende - Évora,02/10 a 20/10,❤️,2026-10-02,2026-10-20
next,Morte de um Caixeiro Viajante,Teatro Micaelense - Ponta Delgada,12/10 a 25/10,💼,2026-10-12,2026-10-25
next,Baile de Máscaras,Coliseu Porto Ageas,20/09 a 05/10,🎭,2026-09-20,2026-10-05
next,O Misantropo,Teatro Diogo Bernardes - Ponte de Lima,05/10 a 18/10,🤨,2026-10-05,2026-10-18
next,Sr. Engenheiro - O Musical,Coliseu Porto Ageas,10/09 a 10/10,🏗️,2026-09-10,2026-10-10
next,O Cerejal,Teatro Nacional D. Maria II - Lisboa,01/10 a 10/11,🌳,2026-10-01,2026-11-10
next,Hamlet,Teatro Nacional São João - Porto,15/10 a 15/11,💀,2026-10-15,2026-11-15
next,Rei Lear,Teatro Municipal de Bragança,22/10 a 05/11,👑,2026-10-22,2026-11-05
now,A Flauta Mágica,Teatro Baltazar Dias - Funchal,05/09 a 20/09,🎶,2026-09-05,2026-09-20
next,Yerma,Teatro de Vila Real,18/09 a 02/10,🏜️,2026-09-18,2026-10-02
next,West Side Story,Coliseu de Elvas,25/09 a 10/10,🏙️,2026-09-25,2026-10-10
next,Cyrano de Bergerac,Teatro Municipal de Ourém,02/10 a 15/10,👃,2026-10-02,2026-10-15
next,O Corcunda de Notre Dame,Fórum Luísa Todi - Setúbal,10/10 a 25/10,🔔,2026-10-10,2026-10-25
next,Woyzeck,Teatro das Beiras - Covilhã,15/10 a 30/10,🔪,2026-10-15,2026-10-30
next,Seis Personagens à Procura de Autor,Teatro Municipal de Beja,08/10 a 22/10,👥,2026-10-08,2026-10-22
next,Hedda Gabler,Teatro Municipal de Matosinhos,05/10 a 20/10,🔫,2026-10-05,2026-10-20
now,O Barbeiro de Sevilha,Teatro Pax Julia - Beja,12/09 a 25/09,🪒,2026-09-12,2026-09-25
next,Um Inimigo do Povo,Teatro Stephens - Marinha Grande,20/09 a 05/10,🌊,2026-09-20,2026-10-05
next,Salomé,Cine-Teatro de Estarreja,01/10 a 15/10,🌖,2026-10-01,2026-10-15
next,Medeia,Cine-Teatro Sobral Monte Agraço,10/10 a 22/10,🗡️,2026-10-10,2026-10-22
